size; duration; mean; repeats
100; 8.578625;0.8578625;10
200; 15.416332;1.5416332;10
300; 18.585;1.8584999;10
400; 53.414623;5.341462;10
500; 51.53904;5.153904;10
600; 59.995914;5.9995914;10
700; 19.57896;1.957896;10
800; 18.272501;1.8272501;10
900; 3.818252;0.3818252;10
1000; 6.310876;0.6310876;10
1100; 3.625289;0.3625289;10
1200; 6.274293;0.6274293;10
1300; 9.237959;0.9237959;10
1400; 9.317916;0.9317916;10
1500; 10.777417;1.0777417;10
1600; 9.810082;0.98100823;10
1700; 14.019543;1.4019543;10
1800; 19.783209;1.9783208;10
1900; 10.646918;1.0646918;10
2000; 12.50304;1.250304;10
2100; 12.521374;1.2521374;10
2200; 12.058998;1.2058998;10
2300; 13.752336;1.3752335;10
2400; 15.256666;1.5256666;10
2500; 16.769;1.6768999;10
2600; 15.704623;1.5704623;10
2700; 20.007835;2.0007834;10
2800; 21.763582;2.1763582;10
2900; 21.516376;2.1516376;10
